epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,657.411,1.15488,1.52707,1.53873,0.60096,0.60242,0.63126,0.41383,1.30381,1.78098,1.89195,0.00184879,0.000971602,0.000971602
4,892.023,1.22026,1.48639,1.62574,0.53145,0.79137,0.7047,0.43626,1.48283,3.59868,2.0801,0.0009703,0.0009703,0.0009703
5,1141.75,1.20671,1.49408,1.58954,0.65349,0.69216,0.68358,0.40337,1.4553,1.66972,2.09478,0.0009604,0.0009604,0.0009604
6,1366.69,1.16453,1.37474,1.56186,0.68424,0.73245,0.73329,0.45195,1.37094,2.01794,2.13536,0.0009505,0.0009505,0.0009505
7,1612.78,1.16994,1.36292,1.57319,0.73878,0.66706,0.69423,0.43559,1.35903,1.60975,1.97319,0.0009406,0.0009406,0.0009406
8,1838.93,1.19022,1.40206,1.58896,0.56137,0.79412,0.71486,0.4376,1.41436,1.58721,1.99111,0.0009307,0.0009307,0.0009307
9,2083.83,1.14649,1.33741,1.54342,0.69587,0.73137,0.75227,0.47873,1.30327,1.66052,1.79411,0.0009208,0.0009208,0.0009208
10,2324.36,1.12702,1.35686,1.55212,0.62056,0.79281,0.66765,0.42328,1.32492,1.27616,1.96718,0.0009109,0.0009109,0.0009109
11,2552.81,1.09918,1.32871,1.51821,0.88255,0.68366,0.82047,0.56495,1.19753,1.21729,1.72801,0.000901,0.000901,0.000901
12,2792.89,1.04983,1.25459,1.4619,0.76281,0.63593,0.67971,0.4213,1.36573,1.50676,1.90068,0.0008911,0.0008911,0.0008911
13,3013.23,1.12251,1.20868,1.53148,0.69017,0.77002,0.76549,0.49622,1.25637,1.26562,1.78255,0.0008812,0.0008812,0.0008812
14,3266.48,1.13667,1.27031,1.53914,0.74835,0.73987,0.73381,0.52003,1.24035,1.18889,1.74358,0.0008713,0.0008713,0.0008713
15,3526.84,1.10093,1.21336,1.52868,0.70919,0.7732,0.75667,0.47274,1.4006,1.29103,1.88369,0.0008614,0.0008614,0.0008614
16,3770.11,1.07413,1.22387,1.50652,0.70456,0.65163,0.74064,0.49906,1.29465,1.15153,1.81063,0.0008515,0.0008515,0.0008515
17,4013.81,1.08441,1.17037,1.49698,0.67861,0.78289,0.72593,0.5034,1.22483,1.15675,1.73158,0.0008416,0.0008416,0.0008416
18,4269.44,1.07141,1.13734,1.48867,0.71765,0.69935,0.75304,0.48135,1.32092,1.30214,1.77044,0.0008317,0.0008317,0.0008317
19,4523.78,1.07734,1.21207,1.50336,0.69506,0.69542,0.70347,0.51233,1.14228,1.37802,1.62671,0.0008218,0.0008218,0.0008218
20,4776.7,1.02068,1.17993,1.4818,0.67005,0.68956,0.71146,0.47686,1.32869,1.21394,1.78353,0.0008119,0.0008119,0.0008119
21,5028.54,1.03635,1.09324,1.47975,0.81802,0.71307,0.77989,0.50781,1.35412,1.22663,1.80825,0.000802,0.000802,0.000802
22,5288.47,0.98352,1.06877,1.42778,0.78256,0.79412,0.82925,0.56723,1.21027,0.96348,1.61651,0.0007921,0.0007921,0.0007921
23,5540.96,1.01547,1.16485,1.45449,0.81149,0.78758,0.81119,0.60914,1.01765,0.98082,1.50672,0.0007822,0.0007822,0.0007822
24,5790.66,1.02684,1.12402,1.43947,0.78682,0.72876,0.74964,0.56665,0.94414,1.06595,1.47477,0.0007723,0.0007723,0.0007723
25,6041.77,0.9723,1.06849,1.43573,0.7315,0.78039,0.76663,0.56963,1.02297,0.96415,1.50551,0.0007624,0.0007624,0.0007624
26,6290.6,1.07094,1.1762,1.47875,0.69671,0.74924,0.78956,0.57867,1.08606,0.96226,1.59719,0.0007525,0.0007525,0.0007525
27,6536.64,0.99957,1.08947,1.44196,0.76158,0.73987,0.78378,0.55817,1.21753,1.1355,1.78918,0.0007426,0.0007426,0.0007426
28,6782.25,1.03809,1.11262,1.46677,0.78355,0.70327,0.75253,0.5477,1.14888,1.22107,1.72453,0.0007327,0.0007327,0.0007327
29,7028.21,0.98194,1.05128,1.42127,0.81485,0.78946,0.80843,0.59129,1.13977,1.00396,1.63713,0.0007228,0.0007228,0.0007228
30,7277.69,0.95031,1.00251,1.37183,0.76916,0.74379,0.75399,0.54188,1.14839,1.02911,1.63949,0.0007129,0.0007129,0.0007129
